NumSac,NumEch,TailleEch,FreqObsVert
1,1,25,"0,56"
1,2,25,"0,52"
1,3,25,"0,36"
1,4,25,"0,6"
1,5,25,"0,44"
1,6,25,"0,68"
1,7,25,"0,6"
1,8,25,"0,6"
1,9,25,"0,56"
1,10,25,"0,48"
2,1,25,"0,28"
2,2,25,"0,36"
2,3,25,"0,48"
2,4,25,"0,32"
2,5,25,"0,52"
2,6,25,"0,44"
2,7,25,"0,4"
2,8,25,"0,44"
2,9,25,"0,48"
2,10,25,"0,48"
2,11,25,"0,52"
2,12,25,"0,52"
2,13,25,"0,28"
2,14,25,"0,6"
2,15,25,"0,7"
3,1,25,"0,64"
3,2,25,"0,4"
3,3,25,"0,56"
3,4,25,"0,56"
3,5,25,"0,56"
3,6,25,"0,6"
3,7,25,"0,6"
3,8,25,"0,56"
3,9,25,"0,6"
3,10,25,"0,6"
4,1,25,"0,4"
4,2,25,"0,42"
4,3,25,"0,48"
4,4,25,"0,44"
4,5,25,"0,58"
4,6,25,"0,68"
4,7,25,"0,44"
4,8,25,"0,63"
4,9,25,"0,36"
4,10,25,"0,4"
5,1,50,"0,62"
5,2,50,"0,62"
5,3,50,"0,5"
5,4,50,"0,56"
5,5,50,"0,4"
5,6,50,"0,5"
5,7,50,"0,58"
5,8,50,"0,4"
5,9,50,"0,56"
5,10,50,"0,52"
6,1,25,"0,32"
6,2,25,"0,56"
6,3,25,"0,48"
6,4,25,"0,56"
6,5,25,"0,6"
6,6,25,"0,44"
6,7,25,"0,32"
6,8,25,"0,4"
6,9,25,"0,44"
6,10,25,"0,36"
7,1,25,"0,56"
7,2,25,"0,64"
7,3,25,"0,52"
7,4,25,"0,68"
7,5,25,"0,48"
7,6,25,"0,52"
7,7,25,"0,52"
7,8,25,"0,44"
7,9,25,"0,52"
7,10,25,"0,48"
7,11,25,"0,52"
7,12,25,"0,68"
7,13,25,"0,48"
7,14,25,"0,48"
7,15,25,"0,68"
7,16,25,"0,52"
7,17,25,"0,52"
7,18,25,"0,66"
7,19,25,"0,66"
7,20,25,"0,56"
8,1,25,"0,36"
8,2,25,"0,28"
8,3,25,"0,56"
8,4,25,"0,36"
8,5,25,"0,32"
8,6,25,"0,48"
8,7,25,"0,56"
8,8,25,"0,44"
8,9,25,"0,32"
8,10,25,"0,36"
